iteration,phase,loss,fidelity,step_size,gradient_norm,update_norm
22,batch,1.3876364486834347e-01,8.6123635513165653e-01,3.6199095022624439e-01,1.9029806552623707e-01,6.8886177566058665e-02
23,batch,1.4222460362631062e-01,8.5777539637368938e-01,3.6036036036036034e-01,2.6919909563454020e-01,9.7008683111546007e-02
24,batch,1.5849403883235968e-01,8.4150596116764032e-01,3.5874439461883412e-01,4.2871500458536943e-01,1.5379910478398909e-01
25,batch,2.0293096511070241e-01,7.9706903488929759e-01,3.5714285714285715e-01,6.8996619600834197e-01,2.4641649857440787e-01
26,batch,2.8559418049913399e-01,7.1440581950086601e-01,3.5555555555555557e-01,1.0544709169600572e+00,3.7492299269690926e-01
27,batch,3.5577714643896396e-01,6.4422285356103604e-01,3.5398230088495580e-01,1.4120873108794623e+00,4.9985391535556195e-01
28,batch,3.5270407673276760e-01,6.4729592326723240e-01,3.5242290748898680e-01,1.5863655852784271e+00,5.5907157190429146e-01
29,batch,3.1477297464389198e-01,6.8522702535610802e-01,3.5087719298245612e-01,1.5580759633553394e+00,5.4669332047555763e-01
30,batch,2.9103275690201480e-01,7.0896724309798520e-01,3.4934497816593890e-01,1.4858549520384794e+00,5.1907596577763482e-01
31,batch,2.6427211721771982e-01,7.3572788278228018e-01,3.4782608695652178e-01,1.4293946483480124e+00,4.9718074725148265e-01
32,batch,2.4347930850577126e-01,7.5652069149422874e-01,3.4632034632034631e-01,1.3740151142027985e+00,4.7584939020010336e-01
33,batch,2.2440188677807549e-01,7.7559811322192451e-01,3.4482758620689657e-01,1.3299659448306802e+00,4.5860894649333805e-01
34,batch,2.0590310447741900e-01,7.9409689552258100e-01,3.4334763948497854e-01,1.2859219223757381e+00,4.4151825660969551e-01
35,batch,1.9056713491054678e-01,8.0943286508945322e-01,3.4188034188034194e-01,1.2447757058611444e+00,4.2556434388415193e-01
36,batch,1.7391978294432375e-01,8.2608021705567625e-01,3.4042553191489361e-01,1.2019582291837829e+00,4.0917726950937289e-01
37,batch,1.6074331640101647e-01,8.3925668359898353e-01,3.3898305084745767e-01,1.1579231119125093e+00,3.9251630912288454e-01
38,batch,1.4608962214935661e-01,8.5391037785064339e-01,3.3755274261603374e-01,1.1122304640398630e+00,3.7543644355775968e-01
39,batch,1.3463305690892624e-01,8.6536694309107376e-01,3.3613445378151263e-01,1.0642543523829215e+00,3.5773255542283078e-01
40,batch,1.2213840018843003e-01,8.7786159981156997e-01,3.3472803347280333e-01,1.0155031428440870e+00,3.3991736998965261e-01
41,batch,1.1228619971636022e-01,8.8771380028363978e-01,3.3333333333333337e-01,9.6481891632295314e-01,3.2160630544098445e-01
42,batch,1.0192232280759805e-01,8.9807767719240195e-01,3.3195020746887965e-01,9.1433748079395794e-01,3.0351451644612715e-01
43,batch,9.3601612772314713e-02,9.0639838722768529e-01,3.3057851239669422e-01,8.6275559449806705e-01,2.8520846099109659e-01
44,batch,8.5184755187946215e-02,9.1481524481205378e-01,3.2921810699588477e-01,8.1211848212853377e-01,2.6736410934272714e-01
45,batch,7.8296896249115178e-02,9.2170310375088482e-01,3.2786885245901642e-01,7.6122869590300657e-01,2.4958317898459234e-01
46,batch,7.1575514218256364e-02,9.2842448578174364e-01,3.2653061224489793e-01,7.1174114069769112e-01,2.3240527043189912e-01
47,batch,6.5990504669043992e-02,9.3400949533095601e-01,3.2520325203252037e-01,6.6268100316419076e-01,2.1550601728916774e-01
48,batch,6.0707370459746501e-02,9.3929262954025350e-01,3.2388663967611336e-01,6.1527534624319813e-01,1.9927946437026658e-01
49,batch,5.6276204906800520e-02,9.4372379509319948e-01,3.2258064516129037e-01,5.6879272702209505e-01,1.8348152484583713e-01
50,batch,5.2196437448292721e-02,9.4780356255170728e-01,3.2128514056224899e-01,5.2411116948012648e-01,1.6838913075666717e-01
51,batch,4.8764182649015386e-02,9.5123581735098461e-01,3.2000000000000001e-01,4.8071410276877274e-01,1.5382851288600730e-01
52,batch,4.5681053243766145e-02,9.5431894675623385e-01,3.1872509960159368e-01,4.3922972543163569e-01,1.3999353798617872e-01
53,batch,4.3094685430578927e-02,9.5690531456942107e-01,3.1746031746031750e-01,3.9931125458817901e-01,1.2676547764704096e-01
54,batch,4.0825803663494753e-02,9.5917419633650525e-01,3.1620553359683795e-01,3.6141485264236450e-01,1.1428137632960143e-01
55,batch,3.8937546622525687e-02,9.6106245337747431e-01,3.1496062992125984e-01,3.2531699789178503e-01,1.0246204658008977e-01
56,batch,3.7319552844788384e-02,9.6268044715521162e-01,3.1372549019607848e-01,2.9134960292696588e-01,9.1403796996695208e-02
57,batch,3.5988772234096467e-02,9.6401122776590353e-01,3.1250000000000000e-01,2.5936912654199062e-01,8.1052852044372070e-02
58,batch,3.4874504391867345e-02,9.6512549560813266e-01,3.1128404669260701e-01,2.2960692633017726e-01,7.1472973176708879e-02
59,batch,3.3970567389070561e-02,9.6602943261092944e-01,3.1007751937984496e-01,2.0196106453636045e-01,6.2623585902747414e-02
60,batch,3.3229634470611447e-02,9.6677036552938855e-01,3.0888030888030893e-01,1.7657233087344529e-01,5.4539716099905870e-02
61,batch,3.2636236373018823e-02,9.6736376362698118e-01,3.0769230769230771e-01,1.5334931678567520e-01,4.7184405164823133e-02
62,batch,3.2157788741974169e-02,9.6784221125802583e-01,3.0651340996168586e-01,1.3234872200139128e-01,4.0566658084717648e-02
63,batch,3.1777471494116916e-02,9.6822252850588308e-01,3.0534351145038169e-01,1.1346908806859407e-01,3.4647049791937126e-02
64,batch,3.1472898715137476e-02,9.6852710128486252e-01,3.0418250950570347e-01,9.6693307888593177e-02,2.9412413045959911e-02
65,batch,3.1229841243445744e-02,9.6877015875655426e-01,3.0303030303030304e-01,8.1901780383550893e-02,2.4818721328348763e-02
66,batch,3.1033418911963873e-02,9.6896658108803613e-01,3.0188679245283023e-01,6.9020468681779190e-02,2.0836367903933353e-02
67,batch,3.0873290133824782e-02,9.6912670986617522e-01,3.0075187969924810e-01,5.7914870335266655e-02,1.7418006115869685e-02
68,batch,3.0740093558488613e-02,9.6925990644151139e-01,2.9962546816479402e-01,4.8475393567194984e-02,1.4524462492043430e-02
69,batch,3.0627139533795145e-02,9.6937286046620486e-01,2.9850746268656714e-01,4.0562031764195088e-02,1.2108069183341794e-02
70,batch,3.0528917312218962e-02,9.6947108268778104e-01,2.9739776951672864e-01,3.4048819938185350e-02,1.0126043104293053e-02
71,batch,3.0441502391767905e-02,9.6955849760823209e-01,2.9629629629629628e-01,2.8796231638488927e-02,8.5322167817744998e-03
72,batch,3.0361865711137748e-02,9.6963813428886225e-01,2.9520295202952029e-01,2.4668624325294066e-02,7.2822507233340286e-03
73,batch,3.0287887191450924e-02,9.6971211280854908e-01,2.9411764705882359e-01,2.1519895153332812e-02,6.3293809274508322e-03
74,batch,3.0218001452442467e-02,9.6978199854755753e-01,2.9304029304029305e-01,1.9198154258077145e-02,5.6258327496196718e-03
75,batch,3.0151133528620200e-02,9.6984886647137980e-01,2.9197080291970801e-01,1.7545409046272355e-02,5.1227471667948422e-03
76,batch,3.0086508231784714e-02,9.6991349176821529e-01,2.9090909090909095e-01,1.6407220052220083e-02,4.7730094697367616e-03
77,batch,3.0023597533190616e-02,9.6997640246680938e-01,2.8985507246376818e-01,1.5644944252405552e-02,4.5347664499726312e-03
78,batch,2.9962019063014766e-02,9.7003798093698523e-01,2.8880866425992779e-01,1.5143895075948060e-02,4.3736881085770533e-03
79,batch,2.9901507364160862e-02,9.7009849263583914e-01,2.8776978417266186e-01,1.4817841901558495e-02,4.2641271659161102e-03
80,batch,2.9841862063846314e-02,9.7015813793615369e-01,2.8673835125448027e-01,1.4605381415030681e-02,4.1879229863887348e-03
81,batch,2.9782935622067130e-02,9.7021706437793287e-01,2.8571428571428575e-01,1.4465946067729734e-02,4.1331274479227791e-03
82,batch,2.9724608122033813e-02,9.7027539187796619e-01,2.8469750889679718e-01,1.4373191873163906e-02,4.0920119211854513e-03
83,batch,2.9666783311797729e-02,9.7033321668820227e-01,2.8368794326241131e-01,1.4311067975203633e-02,4.0598774397740808e-03
84,batch,2.9609376825121103e-02,9.7039062317487890e-01,2.8268551236749118e-01,1.4269622363622513e-02,4.0338155091512330e-03
85,batch,2.9552315489986603e-02,9.7044768451001340e-01,2.8169014084507044e-01,1.4243090384748542e-02,4.0121381365488921e-03
86,batch,2.9495531945969322e-02,9.7050446805403068e-01,2.8070175438596490e-01,1.4227920207681594e-02,3.9938021635597598e-03
87,batch,2.9438964876559615e-02,9.7056103512344039e-01,2.7972027972027974e-01,1.4222091548137583e-02,3.9782074260524668e-03
88,batch,2.9382556543990912e-02,9.7061744345600909e-01,2.7874564459930312e-01,1.4224292103748622e-02,3.9649594714281965e-03
89,batch,2.9326253094621002e-02,9.7067374690537900e-01,2.7777777777777779e-01,1.4233737544959530e-02,3.9538159847109901e-03
90,batch,2.9270003394395117e-02,9.7072999660560488e-01,2.7681660899653981e-01,1.4249844490163430e-02,3.9445936304950682e-03
91,batch,2.9213759201333178e-02,9.7078624079866682e-01,2.7586206896551724e-01,1.4272209414063892e-02,3.9371612176727867e-03
92,batch,2.9157474580787657e-02,9.7084252541921234e-01,2.7491408934707906e-01,1.4300479796532723e-02,3.9314033804901029e-03
93,batch,2.9101105953486250e-02,9.7089889404651375e-01,2.7397260273972607e-01,1.4334368394520057e-02,3.9272242176767447e-03
94,batch,2.9044611774510898e-02,9.7095538822548910e-01,2.7303754266211605e-01,1.4373601438130813e-02,3.9245328158718949e-03
95,batch,2.8987952506883796e-02,9.7101204749311620e-01,2.7210884353741499e-01,1.4417933303726125e-02,3.9232471574764801e-03
96,batch,2.8931090425366346e-02,9.7106890957463365e-01,2.7118644067796610e-01,1.4467124965892499e-02,3.9232881263437163e-03
97,batch,2.8873989555896040e-02,9.7112601044410396e-01,2.7027027027027029e-01,1.4520953063405596e-02,3.9245819090285182e-03
98,batch,2.8816615542031299e-02,9.7118338445796870e-01,2.6936026936026941e-01,1.4579200623714187e-02,3.9270574070610969e-03
99,batch,2.8758935573859001e-02,9.7124106442614100e-01,2.6845637583892618e-01,1.4641661681924588e-02,3.9306474313891438e-03
100,batch,2.8700918288473209e-02,9.7129908171152679e-01,2.6755852842809363e-01,1.4708137161570906e-02,3.9352875348684707e-03
101,batch,2.8642533700007022e-02,9.7135746629999298e-01,2.6666666666666666e-01,1.4778436927513737e-02,3.9409165140036730e-03
102,batch,2.8583753120891564e-02,9.7141624687910844e-01,2.6578073089700999e-01,1.4852377879196696e-02,3.9474758482914776e-03
103,batch,2.8524549097669771e-02,9.7147545090233023e-01,2.6490066225165565e-01,1.4929784711972365e-02,3.9549098574761061e-03
104,batch,2.8464895346250851e-02,9.7153510465374915e-01,2.6402640264026400e-01,1.5010488960817669e-02,3.9631654021960987e-03
105,batch,2.8404766695303119e-02,9.7159523330469688e-01,2.6315789473684209e-01,1.5094329162292685e-02,3.9721918848138792e-03
106,batch,2.8344139031897253e-02,9.7165586096810275e-01,2.6229508196721313e-01,1.5181150301048774e-02,3.9819410625701879e-03
107,batch,2.8282989252396806e-02,9.7171701074760319e-01,2.6143790849673204e-01,1.5270803710444170e-02,3.9923669831226499e-03
108,batch,2.8221295216587117e-02,9.7177870478341288e-01,2.6058631921824105e-01,1.5363146687402358e-02,4.0034258468801100e-03
109,batch,2.8159035705616953e-02,9.7184096429438305e-01,2.5974025974025977e-01,1.5458042286909869e-02,4.0150759186778802e-03
110,batch,2.8096190382962960e-02,9.7190380961703704e-01,2.5889967637540456e-01,1.5555359008390442e-02,4.0272774131755121e-03
111,batch,2.8032739759001002e-02,9.7196726024099900e-01,2.5806451612903225e-01,1.5654970552968710e-02,4.0399924007661096e-03
112,batch,2.7968665157855677e-02,9.7203133484214432e-01,2.5723472668810288e-01,1.5756755543800814e-02,4.0531847058008488e-03
113,batch,2.7903948687598157e-02,9.7209605131240184e-01,2.5641025641025644e-01,1.5860597276217848e-02,4.0668198144148213e-03
114,batch,2.7838573212603857e-02,9.7216142678739614e-01,2.5559105431309909e-01,1.5966383458907805e-02,4.0808647818294935e-03
115,batch,2.7772522328498250e-02,9.7222747767150175e-01,2.5477707006369427e-01,1.6074005970314498e-02,4.0952881453030342e-03
116,batch,2.7705780339280617e-02,9.7229421966071938e-01,2.5396825396825395e-01,1.6183360616943102e-02,4.1100598392236499e-03
117,batch,2.7638332236680885e-02,9.7236166776331912e-01,2.5316455696202533e-01,1.6294346902184710e-02,4.1251511144771618e-03
118,batch,2.7570163681454041e-02,9.7242983631854596e-01,2.5236593059936913e-01,1.6406867801254697e-02,4.1405344608844742e-03
119,batch,2.7501260986491083e-02,9.7249873901350892e-01,2.5157232704402521e-01,1.6520829545286612e-02,4.1561835334054482e-03
120,batch,2.7431611101762288e-02,9.7256838889823771e-01,2.5078369905956116e-01,1.6636141413272534e-02,4.1720730816984606e-03
121,batch,2.7361201600960117e-02,9.7263879839903988e-01,2.5000000000000000e-01,1.6752715532753360e-02,4.1881788831883331e-03
122,batch,2.7290020669558435e-02,9.7270997933044157e-01,2.4922118380062308e-01,1.6870466688964712e-02,4.2044776794927406e-03
123,batch,2.7218057094461789e-02,9.7278194290553821e-01,2.4844720496894412e-01,1.6989312142636142e-02,4.2209471161828915e-03
124,batch,2.7145300254878491e-02,9.7285469974512151e-01,2.4767801857585142e-01,1.7109171456299897e-02,4.2375656857709058e-03
125,batch,2.7071740114622211e-02,9.7292825988537779e-01,2.4691358024691357e-01,1.7229966329102779e-02,4.2543126738525524e-03
126,batch,2.6997367215464751e-02,9.7300263278453525e-01,2.4615384615384617e-01,1.7351620439962984e-02,4.2711681082985911e-03
127,batch,2.6922172671673184e-02,9.7307782732832682e-01,2.4539877300613500e-01,1.7474059298967906e-02,4.2881127114031735e-03
128,batch,2.6846148165585726e-02,9.7315385183441427e-01,2.4464831804281348e-01,1.7597210106803846e-02,4.3051278548755165e-03
129,batch,2.6769285944120758e-02,9.7323071405587924e-01,2.4390243902439024e-01,1.7721001622060452e-02,4.3221955175757444e-03
130,batch,2.6691578816183559e-02,9.7330842118381644e-01,2.4316109422492402e-01,1.7845364036189679e-02,4.3392982458820041e-03
131,batch,2.6613020150886069e-02,9.7338697984911393e-01,2.4242424242424246e-01,1.7970228855915694e-02,4.3564191165856667e-03
132,batch,2.6533603876640610e-02,9.7346639612335939e-01,2.4169184290030213e-01,1.8095528792866244e-02,4.3735417022032850e-03
133,batch,2.6453324480716245e-02,9.7354667551928376e-01,2.4096385542168675e-01,1.8221197660149614e-02,4.3906500385902823e-03
134,batch,2.6372177009745590e-02,9.7362782299025441e-01,2.4024024024024024e-01,1.8347170275754467e-02,4.4077285947758350e-03
135,batch,2.6290157070511189e-02,9.7370984292948881e-01,2.3952095808383236e-01,1.8473382372401911e-02,4.4247622448866557e-03
136,batch,2.6207260831526247e-02,9.7379273916847375e-01,2.3880597014925373e-01,1.8599770513716193e-02,4.4417362420814503e-03
137,batch,2.6123485024843851e-02,9.7387651497515615e-01,2.3809523809523808e-01,1.8726272016428767e-02,4.4586361943878142e-03
138,batch,2.6038826948502791e-02,9.7396117305149721e-01,2.3738872403560832e-01,1.8852824878409807e-02,4.4754480423524730e-03
139,batch,2.5953284469220406e-02,9.7404671553077959e-01,2.3668639053254439e-01,1.8979367712277196e-02,4.4921580384087757e-03
140,batch,2.5866856025411611e-02,9.7413314397458839e-01,2.3598820058997050e-01,1.9105839684412148e-02,4.5087527278848552e-03
141,batch,2.5779540630556652e-02,9.7422045936944335e-01,2.3529411764705882e-01,1.9232180459099548e-02,4.5252189315528116e-03
142,batch,2.5691337876707965e-02,9.7430866212329204e-01,2.3460410557184752e-01,1.9358330147665283e-02,4.5415437296575751e-03
143,batch,2.5602247938282918e-02,9.7439775206171708e-01,2.3391812865497078e-01,1.9484229262314998e-02,4.5577144473251639e-03
144,batch,2.5512271575778067e-02,9.7448772842422193e-01,2.3323615160349859e-01,1.9609818674597098e-02,4.5737186413054671e-03
145,batch,2.5421410139924938e-02,9.7457858986007506e-01,2.3255813953488375e-01,1.9735039578195557e-02,4.5895440879524458e-03
146,batch,2.5329665575512528e-02,9.7467033442448747e-01,2.3188405797101450e-01,1.9859833455950059e-02,4.6051787723941969e-03
147,batch,2.5237040425532875e-02,9.7476295957446712e-01,2.3121387283236997e-01,1.9984142050899711e-02,4.6206108788207599e-03
148,batch,2.5143537835108809e-02,9.7485646216489119e-01,2.3054755043227668e-01,2.0107907341181463e-02,4.6358287818285965e-03
149,batch,2.5049161555409039e-02,9.7495083844459096e-01,2.2988505747126439e-01,2.0231071518668663e-02,4.6508210387743746e-03
150,batch,2.4953915947388605e-02,9.7504608405261139e-01,2.2922636103151861e-01,2.0353576971143338e-02,4.6655763830700664e-03
151,batch,2.4857805985570969e-02,9.7514219401442903e-01,2.2857142857142859e-01,2.0475366267910477e-02,4.6800837183795076e-03
152,batch,2.4760837261375346e-02,9.7523916273862465e-01,2.2792022792022795e-01,2.0596382148687475e-02,4.6943321136609494e-03
153,batch,2.4663015986393422e-02,9.7533698401360658e-01,2.2727272727272729e-01,2.0716567515664676e-02,4.7083107990147201e-03
154,batch,2.4564348995377738e-02,9.7543565100462226e-01,2.2662889518413598e-01,2.0835865428587539e-02,4.7220091622861178e-03
155,batch,2.4464843748906451e-02,9.7553515625109355e-01,2.2598870056497175e-01,2.0954219102761729e-02,4.7354167463868127e-03
156,batch,2.4364508335693924e-02,9.7563549166430608e-01,2.2535211267605637e-01,2.1071571909878233e-02,4.7485232472965133e-03
157,batch,2.4263351474621997e-02,9.7573664852537800e-01,2.2471910112359553e-01,2.1187867381534591e-02,4.7613185127044003e-03
158,batch,2.4161382516276086e-02,9.7583861748372391e-01,2.2408963585434172e-01,2.1303049215337329e-02,4.7737925412520681e-03
159,batch,2.4058611444088496e-02,9.7594138855591150e-01,2.2346368715083800e-01,2.1417061283545601e-02,4.7859354823565729e-03
160,batch,2.3955048875094476e-02,9.7604495112490552e-01,2.2284122562674097e-01,2.1529847644088385e-02,4.7977376365656585e-03
161,batch,2.3850706059987736e-02,9.7614929394001226e-01,2.2222222222222224e-01,2.1641352553948189e-02,4.8091894564328873e-03
162,batch,2.3745594882988663e-02,9.7625440511701134e-01,2.2160664819944598e-01,2.1751520484732879e-02,4.8202815478632748e-03
163,batch,2.3639727860755744e-02,9.7636027213924426e-01,2.2099447513812157e-01,2.1860296140462775e-02,4.8310046719254821e-03
164,batch,2.3533118141096376e-02,9.7646688185890362e-01,2.2038567493112948e-01,2.1967624477375020e-02,4.8413497470799014e-03
165,batch,2.3425779500798716e-02,9.7657422049920128e-01,2.1978021978021978e-01,2.2073450725779650e-02,4.8513078518197016e-03
166,batch,2.3317726342994116e-02,9.7668227365700588e-01,2.1917808219178081e-01,2.2177720413810453e-02,4.8608702276844726e-03
167,batch,2.3208973693824131e-02,9.7679102630617587e-01,2.1857923497267759e-01,2.2280379393054221e-02,4.8700282826348055e-03
168,batch,2.3099537198337350e-02,9.7690046280166265e-01,2.1798365122615806e-01,2.2381373865940263e-02,4.8787735947554119e-03
169,batch,2.2989433115866431e-02,9.7701056688413357e-01,2.1739130434782611e-01,2.2480650414865799e-02,4.8870979162751885e-03
170,batch,2.2878678314525502e-02,9.7712132168547450e-01,2.1680216802168023e-01,2.2578156032950349e-02,4.8949931778753909e-03
171,batch,2.2767290265003570e-02,9.7723270973499643e-01,2.1621621621621623e-01,2.2673838156370515e-02,4.9024514932693121e-03
172,batch,2.2655287033731542e-02,9.7734471296626846e-01,2.1563342318059300e-01,2.2767644698215097e-02,4.9094651640355629e-03
173,batch,2.2542687275070694e-02,9.7745731272492931e-01,2.1505376344086025e-01,2.2859524083745652e-02,4.9160266846764679e-03
174,batch,2.2429510222852889e-02,9.7757048977714711e-01,2.1447721179624665e-01,2.2949425287074207e-02,4.9221287478979307e-03
175,batch,2.2315775681061023e-02,9.7768422431893898e-01,2.1390374331550802e-01,2.3037297869088886e-02,4.9277642500725289e-03
176,batch,2.2201504013771411e-02,9.7779849598622859e-01,2.1333333333333335e-01,2.3123092016650304e-02,4.9329262968854214e-03
177,batch,2.2086716134139706e-02,9.7791328386586029e-01,2.1276595744680854e-01,2.3206758582915193e-02,4.9376082091309205e-03
178,batch,2.1971433492734116e-02,9.7802856650726588e-01,2.1220159151193635e-01,2.3288249128767886e-02,4.9418035286510134e-03
179,batch,2.1855678064834350e-02,9.7814432193516565e-01,2.1164021164021163e-01,2.3367515965213574e-02,4.9455060243837968e-03
180,batch,2.1739472337056531e-02,9.7826052766294347e-01,2.1108179419525067e-01,2.3444512196754672e-02,4.9487096985234335e-03
181,batch,2.1622839293096940e-02,9.7837716070690306e-01,2.1052631578947370e-01,2.3519191765557845e-02,4.9514087927490288e-03
182,batch,2.1505802398569807e-02,9.7849419760143019e-01,2.0997375328083989e-01,2.3591509496433724e-02,4.9535977945267705e-03
183,batch,2.1388385585085601e-02,9.7861161441491440e-01,2.0942408376963351e-01,2.3661421142444315e-02,4.9552714434438440e-03
184,batch,2.1270613233405733e-02,9.7872938676659427e-01,2.0887728459530028e-01,2.3728883431134499e-02,4.9564247375737617e-03
185,batch,2.1152510155937887e-02,9.7884748984406211e-01,2.0833333333333334e-01,2.3793854111242928e-02,4.9570529398422899e-03
186,batch,2.1034101578214059e-02,9.7896589842178594e-01,2.0779220779220781e-01,2.3856291999809119e-02,4.9571515843759217e-03
187,batch,2.0915413119695914e-02,9.7908458688030409e-01,2.0725388601036268e-01,2.3916157029586493e-02,4.9567164828158835e-03
188,batch,2.0796470773763565e-02,9.7920352922623644e-01,2.0671834625322999e-01,2.3973410296651402e-02,4.9557437305739090e-03
189,batch,2.0677300886904004e-02,9.7932269911309600e-01,2.0618556701030930e-01,2.4028014108109185e-02,4.9542297130122101e-03
190,batch,2.0557930137199310e-02,9.7944206986280069e-01,2.0565552699228792e-01,2.4079932029774220e-02,4.9521711115216895e-03
191,batch,2.0438385511987733e-02,9.7956161448801227e-01,2.0512820512820512e-01,2.4129128933725128e-02,4.9495649094820765e-03
192,batch,2.0318694284949257e-02,9.7968130571505074e-01,2.0460358056265984e-01,2.4175571045639513e-02,4.9464083980848292e-03
193,batch,2.0198883992411432e-02,9.7980111600758857e-01,2.0408163265306123e-01,2.4219225991721112e-02,4.9426991819838794e-03
194,batch,2.0078982409020507e-02,9.7992101759097949e-01,2.0356234096692113e-01,2.4260062845188914e-02,4.9384351847712657e-03
195,batch,1.9959017522817479e-02,9.8004098247718252e-01,2.0304568527918784e-01,2.4298052172132274e-02,4.9336146542400539e-03
196,batch,1.9839017509746371e-02,9.8016098249025363e-01,2.0253164556962025e-01,2.4333166076661285e-02,4.9282361674250720e-03
197,batch,1.9719010707589080e-02,9.8028098929241092e-01,2.0202020202020204e-01,2.4365378245151142e-02,4.9222986353840495e-03
198,batch,1.9599025589333796e-02,9.8040097441066620e-01,2.0151133501259449e-01,2.4394663989551167e-02,4.9158013077181140e-03
199,batch,1.9479090736285065e-02,9.8052090926371493e-01,2.0100502512562815e-01,2.4421000289541958e-02,4.9087437767923884e-03
200,batch,1.9359234810396586e-02,9.8064076518960341e-01,2.0050125313283207e-01,2.4444365833428013e-02,4.9011259816396750e-03
201,batch,1.9239486526584360e-02,9.8076051347341564e-01,2.0000000000000001e-01,2.4464741057687416e-02,4.8929482115374996e-03
202,batch,1.9119874624612732e-02,9.8088012537538727e-01,1.9950124688279303e-01,2.4482108184950620e-02,4.8842111092171113e-03
203,batch,1.9000427840511591e-02,9.8099957215948841e-01,1.9900497512437815e-01,2.4496451260367629e-02,4.8749156737050063e-03
204,batch,1.8881174877978801e-02,9.8111882512202120e-01,1.9851116625310172e-01,2.4507756186175237e-02,4.8650632627643530e-03
205,batch,1.8762144379571244e-02,9.8123785562042876e-01,1.9801980198019803e-01,2.4516010754345233e-02,4.8546555949198333e-03
206,batch,1.8643364897752646e-02,9.8135663510224735e-01,1.9753086419753088e-01,2.4521204677210438e-02,4.8436947510539126e-03
207,batch,1.8524864865839596e-02,9.8147513513416040e-01,1.9704433497536944e-01,2.4523329615915086e-02,4.8321831755497582e-03
208,batch,1.8406672569047156e-02,9.8159332743095284e-01,1.9656019656019655e-01,2.4522379206559884e-02,4.8201236769650846e-03
209,batch,1.8288816115492712e-02,9.8171118388450729e-01,1.9607843137254902e-01,2.4518349083977334e-02,4.8075194282308810e-03
210,batch,1.8171323407381368e-02,9.8182867659261863e-01,1.9559902200488999e-01,2.4511236902952017e-02,4.7943739663475924e-03
211,batch,1.8054222112331320e-02,9.8194577788766868e-01,1.9512195121951223e-01,2.4501042356842868e-02,4.7806911915791207e-03
212,batch,1.7937539634991229e-02,9.8206246036500877e-01,1.9464720194647206e-01,2.4487767193441614e-02,4.7664753661200527e-03
213,batch,1.7821303088889739e-02,9.8217869691111026e-01,1.9417475728155340e-01,2.4471415228030171e-02,4.7517311122388835e-03
