gamma,method,iteration,fixed_validation_fidelity,noiseless_fidelity,gradient_norm,train_trajectories,validation_trajectories
0.001,cross,22,0.41694287196282787,0.49234659233297684,0.39107287567432636,4,12
0.001,cross,23,0.4424834066323356,0.5229049008349905,0.3177937550972761,4,12
0.001,cross,24,0.4614388759116259,0.545647455234198,0.38850840404301207,4,12
0.001,cross,25,0.4866951345323369,0.5757279629239958,0.3855052782291298,4,12
0.001,cross,26,0.5114344591510281,0.6051856276747296,0.2846279459276747,4,12
0.001,cross,27,0.5281317914580765,0.6251313828206271,0.36930783993540867,4,12
0.001,cross,28,0.5505387922823544,0.6518220460264097,0.2608816405642433,4,12
0.001,cross,29,0.5655423811312837,0.6694969309694558,0.3389960636352777,4,12
0.001,cross,30,0.584074054719068,0.6916713403305499,0.24753625741534008,4,12
0.001,cross,31,0.5964939412269248,0.7065851108136778,0.29462011274287275,4,12
0.001,cross,32,0.6103365598992403,0.7231476567027001,0.15245577259442722,4,12
0.001,cross,33,0.6132211625712648,0.7267541897113535,0.26214171856424334,4,12
0.001,cross,34,0.6241535737911093,0.7397698282495815,0.24183578444640663,4,12
0.001,cross,35,0.6299482064700184,0.7467935491554906,0.22077512777087704,4,12
0.001,cross,36,0.6376481893876439,0.7559487975092257,0.1946166288847148,4,12
0.001,cross,37,0.6436652949356184,0.7630957815575542,0.21525658299587233,4,12
0.001,cross,38,0.6469701496529449,0.7671969154367986,0.16114247347268937,4,12
0.001,cross,39,0.6511636637714189,0.7720976633167477,0.14379950066927333,4,12
0.001,cross,40,0.6545184265639531,0.7760344475143786,0.13044452870413709,4,12
0.001,cross,41,0.6572904556875674,0.7792933372980755,0.11974276375636773,4,12
0.001,cross,42,0.6596379079326286,0.7820535668002647,0.11106921740546132,4,12
0.001,cross,43,0.6616689439681372,0.7844396810338073,0.1762457183775028,4,12
0.001,cross,44,0.662126355193383,0.785043801994033,0.21362163776999082,4,12
0.001,cross,45,0.6627810415340825,0.7858734626635417,0.18819101763380094,4,12
0.001,cross,46,0.6638721762736112,0.7871325964637526,0.19920079773013533,4,12
0.001,cross,47,0.6650569003608876,0.7885481687343064,0.1848678307925726,4,12
0.001,cross,48,0.6659262803915297,0.789518984679278,0.10620441806529606,4,12
0.001,cross,49,0.6670289116352616,0.7908385306290693,0.09442240329957069,4,12
0.001,cross,50,0.668447261844248,0.792535604039676,0.2043437596678596,4,12
0.001,cross,51,0.668730266716072,0.7931133104793446,0.14624903171233522,4,12
0.001,cross,52,0.6686807303004286,0.7942387843197057,0.08447953419753819,4,12
0.001,cross,53,0.6699762803409012,0.7956171983800358,0.15234620638276705,4,12
0.001,cross,54,0.6712015275592726,0.7969522435351906,0.07811024794480263,4,12
0.001,cross,55,0.6722771807198757,0.7981481630083274,0.0753881185132028,4,12
0.001,cross,56,0.6732729470716264,0.7992715128866147,0.1949170395485966,4,12
0.001,cross,57,0.6739015027491725,0.8000447107292489,0.08088193869373153,4,12
0.001,cross,58,0.6750263496303801,0.8013010013671246,0.2710604920432583,4,12
0.001,cross,59,0.674238120352887,0.8002797023920893,0.2100384506191659,4,12
0.001,cross,60,0.6745109655774546,0.8006028410562224,0.12525633197736022,4,12
0.001,cross,61,0.6755938333807596,0.8019304059970432,0.07834167392361137,4,12
0.001,cross,62,0.676606332511264,0.8031123068732241,0.07338626823176446,4,12
0.001,cross,63,0.6775133323561467,0.8041695702883738,0.07106895612502,4,12
0.001,cross,64,0.6783718023372526,0.8051699435583881,0.06986240161429857,4,12
0.001,cross,65,0.6792045692331629,0.8061404726035877,0.09926538943654045,4,12
0.001,cross,66,0.6793794940158943,0.8063757288976259,0.07168946612666292,4,12
0.001,cross,67,0.680262215370035,0.8073837112578682,0.06942404077358984,4,12
0.001,cross,68,0.6810907453677572,0.808339738685251,0.0684489597375732,4,12
0.001,cross,69,0.6818946434779399,0.8092725986142869,0.17785213695237248,4,12
0.001,cross,70,0.6816188551426552,0.8088833379689522,0.07701363595154896,4,12
0.001,cross,71,0.6826052275005522,0.8100268194761452,0.17229748773508247,4,12
0.001,cross,72,0.6820726038270258,0.8093202492103939,0.09864216675735796,4,12
0.001,cross,73,0.6830523930385497,0.8104241676165227,0.06279688060345338,4,12
0.001,cross,74,0.683888017500324,0.8113938983553034,0.0761753593714856,4,12
0.001,cross,75,0.6848474304631593,0.8125092309796647,0.11414965762838657,4,12
0.001,cross,76,0.6854142541018112,0.8132180299972502,0.0693930049097461,4,12
0.001,cross,77,0.6862245755067957,0.8141649478865026,0.0673939132360236,4,12
0.001,cross,78,0.6869936181191697,0.8150651722704491,0.06632324308898378,4,12
0.001,cross,79,0.6877401642984388,0.8159399926099822,0.060391664622898175,4,12
0.001,cross,80,0.6882317533456394,0.8165211045839793,0.0,4,12
0.012,independent,0,0.05213940548859976,0.03629077792440385,0.09737076741898243,16,32
0.012,independent,1,0.05315013028226096,0.03801182602355837,0.0995127597487145,16,32
0.012,independent,2,0.054428792775345125,0.0403318325279588,0.09401324310867215,16,32
0.012,independent,3,0.055662157351061975,0.04307217117250389,0.0808504375121478,16,32
0.012,independent,4,0.05641898342386696,0.04497618252064449,0.08738291119178995,16,32
0.012,independent,5,0.05741965449328325,0.04653544177733279,0.11417246920209535,16,32
0.012,independent,6,0.05862771512527622,0.04948932994765673,0.06300642736164265,16,32
0.012,independent,7,0.059262608478423184,0.05104491271179473,0.07192554902274613,16,32
0.012,independent,8,0.060051690034557195,0.052532851517496544,0.11215429676355518,16,32
0.012,independent,9,0.061325205439063245,0.056979485069083104,0.08359740865044778,16,32
0.012,independent,10,0.06241631009808582,0.059609399391751805,0.07986352568627353,16,32
0.012,independent,11,0.06304615386062454,0.06052666441877183,0.08191142961535422,16,32
0.012,independent,12,0.06365885407226932,0.06064606809287874,0.1146056402098441,16,32
0.012,independent,13,0.06531162885933407,0.06379095458398064,0.12512057843899507,16,32
0.012,independent,14,0.06704621492550307,0.06697652357011306,0.10130095937725417,16,32
0.012,independent,15,0.06832136856244048,0.07102944922172902,0.11101331948003147,16,32
0.012,independent,16,0.06986355562130456,0.07484782459214588,0.11752636454601625,16,32
0.012,independent,17,0.07122017492715621,0.0789168985434357,0.1452266575678187,16,32
0.012,independent,18,0.07307493101227011,0.08624938172697898,0.14106565007681623,16,32
0.012,independent,19,0.07525632842368052,0.09182415587919812,0.07918114935629735,16,32
0.012,independent,20,0.07664133189893538,0.09552971347049431,0.10083369854834746,16,32
0.012,independent,21,0.07822956917383353,0.10070517798677225,0.14342560745520944,16,32
0.012,independent,22,0.0808652083403752,0.10904693915608352,0.09587547498584863,16,32
0.012,independent,23,0.08186108693063124,0.10994190218815568,0.11038024336703693,16,32
0.012,independent,24,0.08375910751838747,0.11515028832543935,0.09979964028194872,16,32
0.012,independent,25,0.08547888482714477,0.11953101488093597,0.1433008326297578,16,32
0.012,independent,26,0.08825334028634801,0.12885781033210547,0.12926802911006624,16,32
0.012,independent,27,0.09022271810506792,0.13575114870134425,0.21697630598435572,16,32
0.012,independent,28,0.0947266575880355,0.15217672136258448,0.08713238834160274,16,32
0.012,independent,29,0.09626440773679804,0.15716260219636513,0.12526385468363668,16,32
0.012,independent,30,0.09852360792650355,0.16312329826957522,0.11293440254148883,16,32
0.012,independent,31,0.10063855623129171,0.16847135213410291,0.18395458924718844,16,32
0.012,independent,32,0.10450623045365819,0.18294112441655724,0.14164228417161753,16,32
0.012,independent,33,0.10738155659144005,0.1935321913747469,0.18109629689592854,16,32
0.012,independent,34,0.11144839035377316,0.20965938466490627,0.18538906682996673,16,32
0.012,independent,35,0.11547712319572337,0.22699324435969281,0.11352391016861396,16,32
0.012,independent,36,0.11769544712477154,0.23524964960967962,0.17440657455250286,16,32
0.012,independent,37,0.1217579756926159,0.2507600734094383,0.29274755594976365,16,32
0.012,independent,38,0.12920895592357162,0.2807622414800497,0.13594235494583812,16,32
0.012,independent,39,0.1320356256839029,0.2869599124116052,0.23669315347460762,16,32
0.012,independent,40,0.13804230031808426,0.30954230538371047,0.2671740483610931,16,32
0.012,independent,41,0.1451283889744467,0.3372412822610945,0.23320117578854058,16,32
0.012,independent,42,0.15111883410639376,0.3591644224484169,0.19999391655049645,16,32
0.012,independent,43,0.1563663903042843,0.3765872433160561,0.18856799562328885,16,32
0.012,independent,44,0.1606919423939051,0.3927738077445117,0.15442794052840858,16,32
0.012,independent,45,0.16446193831439188,0.4072091191537686,0.11992214320770844,16,32
0.012,independent,46,0.16680348793276378,0.4130100920993834,0.19507842160353991,16,32
0.012,independent,47,0.1714610633975216,0.43288858085689347,0.19827349798520083,16,32
0.012,independent,48,0.1762634491001004,0.45132832616439805,0.2156289864567016,16,32
0.012,independent,49,0.18169531442719383,0.47402072653612426,0.19168065246053564,16,32
0.012,independent,50,0.18574738154981024,0.49063160408738254,0.15337441094967944,16,32
0.012,independent,51,0.1890269192275546,0.504605026574709,0.1911554392265303,16,32
0.012,independent,52,0.19290010372786018,0.5224052302641261,0.19511417844990833,16,32
0.012,independent,53,0.19709187347240067,0.5400967589314372,0.1738988072826244,16,32
0.012,independent,54,0.19925643488797207,0.548450934021186,0.12000281653061265,16,32
0.012,independent,55,0.20092287568686304,0.5550598706956462,0.20797164474025595,16,32
0.012,independent,56,0.2049881716896625,0.572908883773312,0.12454418675099026,16,32
0.012,independent,57,0.20553018166793346,0.5778351598438544,0.10444209054131844,16,32
0.012,independent,58,0.2072164657709314,0.583799003597285,0.10644725295655705,16,32
0.012,independent,59,0.207622917597024,0.587772216359854,0.10843419022041756,16,32
0.012,independent,60,0.20899703105199338,0.5920168459071153,0.10480877051158428,16,32
0.012,independent,61,0.20964318595925488,0.5963699967922418,0.12308449751378485,16,32
0.012,independent,62,0.21176607357237115,0.605024213155241,0.17761562455368618,16,32
0.012,independent,63,0.21470048373657988,0.6172047511117532,0.11381389439062459,16,32
0.012,independent,64,0.215858210022745,0.6242474079912389,0.08834101543921312,16,32
0.012,independent,65,0.21614795711201612,0.6234557885490596,0.14797211763155046,16,32
0.012,independent,66,0.21783859993463778,0.6321647544694129,0.12084616314711157,16,32
0.012,independent,67,0.21876045868987265,0.6387830096933312,0.19790065479463653,16,32
0.012,independent,68,0.2210899908020625,0.6514343527620577,0.11094593479436285,16,32
0.012,independent,69,0.2224021246755742,0.656846869474978,0.1910474749745464,16,32
0.012,independent,70,0.2244729084334901,0.6676036389117044,0.07167428630325165,16,32
0.012,independent,71,0.22498727312748737,0.6696128599116025,0.1390690662158187,16,32
0.012,independent,72,0.22586873579842998,0.673858360763023,0.14016503567690922,16,32
0.012,independent,73,0.22564690749382776,0.677436748094394,0.16964079367953733,16,32
0.012,independent,74,0.22666725839343735,0.6861978971396772,0.10066439452264854,16,32
0.012,independent,75,0.2271822751414291,0.6885820466755834,0.15657709728192182,16,32
0.012,independent,76,0.22778064504639337,0.6932350528447218,0.10523419923045403,16,32
0.012,independent,77,0.22841397391733942,0.6954256776987027,0.10302482398850776,16,32
0.012,independent,78,0.2286544342715787,0.6986606111675572,0.15496452869374777,16,32
0.012,independent,79,0.2295415738825097,0.7041931858955828,0.1284640646479032,16,32
0.012,independent,80,0.23054408478507077,0.7086993089830983,0.0,16,32
0.012,cross,0,0.04927133830601577,0.03629077792440385,0.12085058380672992,4,12
0.012,cross,1,0.05058780684171845,0.03919682151486715,0.12274957790611328,4,12
0.012,cross,2,0.0520120165586439,0.042139174936143116,0.11947431878172372,4,12
0.012,cross,3,0.05302116031798892,0.04363335771320704,0.0713577508001989,4,12
0.012,cross,4,0.05313116501768633,0.04387073687407662,0.15985394147960583,4,12
0.012,cross,5,0.05493777020022678,0.047432924049909994,0.1364792395539396,4,12
0.012,cross,6,0.056277841927640286,0.04790079973889438,0.12465695940718442,4,12
0.012,cross,7,0.056941029980893704,0.047222972277323354,0.1734029904499926,4,12
0.012,cross,8,0.058918453824885385,0.04994137916465633,0.10951878645824673,4,12
0.012,cross,9,0.059452396076238416,0.05279068718238036,0.12874031524547735,4,12
0.012,cross,10,0.06082541850738062,0.0566301704315643,0.12494160800367661,4,12
0.012,cross,11,0.061400256293925363,0.05713771733090202,0.09612079341844097,4,12
0.012,cross,12,0.0620627790673537,0.05851677852040241,0.10678786107450979,4,12
0.012,cross,13,0.0629545100651154,0.06151350145444159,0.10088178256649655,4,12
0.012,cross,14,0.06426178347456277,0.06389551613492613,0.12459066625434641,4,12
0.012,cross,15,0.06569601288591043,0.06926430648579483,0.12252434449565218,4,12
0.012,cross,16,0.06759617978765618,0.0741573693604732,0.15141636157473698,4,12
0.012,cross,17,0.0694357576060216,0.07957752305106201,0.11724619074252632,4,12
0.012,cross,18,0.06961718744899827,0.07940370669328814,0.09352274179476179,4,12
0.012,cross,19,0.07009811406165657,0.0818397383938735,0.09920559470315776,4,12
0.012,cross,20,0.07111697094437709,0.08340430758354328,0.1213002049394669,4,12
0.012,cross,21,0.07259699014049427,0.08630442001006343,0.1879216058532736,4,12
0.012,cross,22,0.07572532025265012,0.09547986534365253,0.1663850684139561,4,12
0.012,cross,23,0.07788587909348149,0.09752431125091826,0.12719848204639903,4,12
0.012,cross,24,0.07960993014775192,0.1003548756546483,0.10935715783329486,4,12
0.012,cross,25,0.08012191969808564,0.1019715298497205,0.1686419410426208,4,12
0.012,cross,26,0.0821439777766637,0.1117891206874387,0.1515327329059063,4,12
0.012,cross,27,0.08446501231717407,0.11975949551319236,0.20204417062222382,4,12
0.012,cross,28,0.08865640925743738,0.13252603325723658,0.165455153743957,4,12
0.012,cross,29,0.09081584740732557,0.14195552786663523,0.2102114216717347,4,12
0.012,cross,30,0.09432730744124064,0.146429727968873,0.11161628903562815,4,12
0.012,cross,31,0.09432856612917967,0.14607407471785971,0.1628688149883425,4,12
0.012,cross,32,0.09649004514664132,0.15513760370305615,0.1330990710579552,4,12
0.012,cross,33,0.09638436041252861,0.15573811721324785,0.20573119192246372,4,12
0.012,cross,34,0.10094782295611987,0.1705721057863134,0.1646298468890555,4,12
0.012,cross,35,0.10390348348663665,0.1833074496385713,0.1958060126316573,4,12
0.012,cross,36,0.10710691870408338,0.19798461071913814,0.1573782487523108,4,12
0.012,cross,37,0.11030282033779581,0.20584320902156417,0.230404711862342,4,12
0.012,cross,38,0.11528942262615867,0.22673842567399244,0.16001832330738922,4,12
0.012,cross,39,0.11737743318755271,0.23137790939471195,0.2812622646481135,4,12
0.012,cross,40,0.12393466401298753,0.25777571832241025,0.10428634697716653,4,12
0.012,cross,41,0.12498869329606076,0.26189122713138013,0.3758272267170565,4,12
0.012,cross,42,0.13383723549218837,0.29116232900179373,0.3237987091181219,4,12
0.012,cross,43,0.1427670913966935,0.323658089038724,0.22648476343670312,4,12
0.012,cross,44,0.1483449462716902,0.3444378087295229,0.2186586624194951,4,12
0.012,cross,45,0.15412223638836228,0.36159106011823383,0.1832535167401499,4,12
0.012,cross,46,0.1586554505386573,0.374060388028481,0.31467960677115936,4,12
0.012,cross,47,0.16639118470221612,0.40351228204799044,0.2831289611086331,4,12
0.012,cross,48,0.1732268941585601,0.42430827161973156,0.19905632818634225,4,12
0.012,cross,49,0.174020922192751,0.42366710449416684,0.15808316575049863,4,12
0.012,cross,50,0.17657055264806112,0.43705657052958036,0.13581625220867904,4,12
0.012,cross,51,0.17881952934446346,0.4429842512548613,0.24490601095739703,4,12
0.012,cross,52,0.18440748056408984,0.46490034433694133,0.2513361918135083,4,12
0.012,cross,53,0.1873154586244987,0.47688991626503874,0.3249705659089951,4,12
0.012,cross,54,0.19362384795947252,0.5012028669202798,0.2024430512177858,4,12
0.012,cross,55,0.19820857109232273,0.5198979212300576,0.2005151089314694,4,12
0.012,cross,56,0.2022704184487165,0.5364025569339672,0.19172207256788415,4,12
0.012,cross,57,0.20413216185626756,0.5440222085496766,0.282297019593476,4,12
0.012,cross,58,0.20142114102018352,0.529923329368933,0.16032914331931233,4,12
0.012,cross,59,0.20304192395329793,0.5366191129669661,0.3211318296946747,4,12
0.012,cross,60,0.21011733320907788,0.5662311243053584,0.1678500108371632,4,12
0.012,cross,61,0.21151021360510538,0.5723591791340131,0.18767827931427292,4,12
0.012,cross,62,0.21389625016783928,0.5837359602636117,0.2600415564505337,4,12
0.012,cross,63,0.21793231230009535,0.6008645338232328,0.14892641059336775,4,12
0.012,cross,64,0.21964483555756356,0.6060325043326911,0.09795449708057999,4,12
0.012,cross,65,0.21836059010407513,0.5999390582768692,0.1248089314214949,4,12
0.012,cross,66,0.220316467879026,0.608395788830502,0.23702407622832755,4,12
0.012,cross,67,0.2233077202466958,0.6225553717856849,0.26225209639752267,4,12
0.012,cross,68,0.22714133506562958,0.6388027458185983,0.3332364311251056,4,12
0.012,cross,69,0.23063879050430167,0.651329910078665,0.36234288483247834,4,12
0.012,cross,70,0.2339035611485016,0.66525967813936,0.19876993610240748,4,12
0.012,cross,71,0.2340245434357624,0.6642742946024086,0.18154454547662097,4,12
0.012,cross,72,0.23593041316663768,0.6710382708487633,0.19423334389081198,4,12
0.012,cross,73,0.23571097357126303,0.6712356293955195,0.18418426553199674,4,12
0.012,cross,74,0.23763213271899467,0.6808040483931405,0.15215615425113393,4,12
0.012,cross,75,0.23907323457381027,0.6879167588434445,0.26252393966853904,4,12
0.012,cross,76,0.24093985302685827,0.6924776199093088,0.09169892745560546,4,12
0.012,cross,77,0.2408964349593701,0.6909132315300883,0.16928743448275527,4,12
0.012,cross,78,0.24184177251353492,0.6960446058013686,0.17502547664716445,4,12
0.012,cross,79,0.24161840303988105,0.697337728026753,0.15379043846558654,4,12
0.012,cross,80,0.24184679583585067,0.7002944708091846,0.0,4,12
0.023000000000000003,independent,0,0.06355954041197528,0.03629077792440385,0.09047557104642001,16,32
0.023000000000000003,independent,1,0.0638696405756983,0.03715739981559372,0.08293722953688669,16,32
0.023000000000000003,independent,2,0.06426982603638563,0.039324022703013946,0.06545064488569317,16,32
0.023000000000000003,independent,3,0.0646125092207149,0.03959063327797094,0.06065079611371106,16,32
0.023000000000000003,independent,4,0.06501513961257645,0.04043105116717303,0.0582440332262611,16,32
0.023000000000000003,independent,5,0.06535274322294735,0.04152888786838399,0.06626956581012967,16,32
0.023000000000000003,independent,6,0.06565189253828266,0.041862392183478314,0.055784261666895166,16,32
0.023000000000000003,independent,7,0.06565101834076628,0.04273979033748058,0.061724557114552873,16,32
0.023000000000000003,independent,8,0.06607222589791971,0.04372180008838778,0.05594542714929129,16,32
0.023000000000000003,independent,9,0.06647520652523138,0.04388051732205242,0.06115125700944233,16,32
0.023000000000000003,independent,10,0.0667034930415409,0.0446730065645728,0.04788252176191435,16,32
0.023000000000000003,independent,11,0.06663248511825125,0.0454055154096336,0.045530321980411674,16,32
0.023000000000000003,independent,12,0.06686464441069342,0.04660520593067141,0.0709803947821185,16,32
0.023000000000000003,independent,13,0.0671061652751641,0.04666747704597252,0.09766268288594701,16,32
0.023000000000000003,independent,14,0.0674538638505576,0.04835233650950601,0.0636315407489056,16,32
0.023000000000000003,independent,15,0.06790367105855322,0.04909591826732707,0.05900720135618251,16,32
0.023000000000000003,independent,16,0.06809766746432962,0.048643426312394246,0.0717958942972198,16,32
0.023000000000000003,independent,17,0.06828809670039847,0.05035695195199121,0.0699451493153442,16,32
0.023000000000000003,independent,18,0.06860066580416511,0.05154932947589113,0.062137629432034304,16,32
0.023000000000000003,independent,19,0.0689292578819107,0.052033318257321035,0.05856304309418851,16,32
0.023000000000000003,independent,20,0.06908593609622402,0.05368667070651582,0.05366814398130741,16,32
0.023000000000000003,independent,21,0.06927037227864681,0.05434666205925805,0.07584331937478968,16,32
